path,label,score
/root/normalized/cifake/test/fake/0 (10).png,1,-0.885473
/root/normalized/cifake/test/fake/0 (2).png,1,-0.920666
/root/normalized/cifake/test/fake/0 (3).png,1,0.476274
/root/normalized/cifake/test/fake/0 (4).png,1,0.533297
/root/normalized/cifake/test/fake/0 (5).png,1,2.71625
/root/normalized/cifake/test/fake/0 (6).png,1,1.106477
/root/normalized/cifake/test/fake/0 (7).png,1,1.221033
/root/normalized/cifake/test/fake/0 (8).png,1,0.849034
/root/normalized/cifake/test/fake/0 (9).png,1,1.961087
/root/normalized/cifake/test/fake/0.png,1,-1.555864
/root/normalized/cifake/test/fake/1 (10).png,1,-0.810644
/root/normalized/cifake/test/fake/1 (2).png,1,0.334317
/root/normalized/cifake/test/fake/1 (3).png,1,1.63778
/root/normalized/cifake/test/fake/1 (4).png,1,0.197672
/root/normalized/cifake/test/fake/1 (5).png,1,0.570206
/root/normalized/cifake/test/fake/1 (6).png,1,0.442687
/root/normalized/cifake/test/fake/1 (7).png,1,-0.374232
/root/normalized/cifake/test/fake/1 (8).png,1,-0.316824
/root/normalized/cifake/test/fake/1 (9).png,1,-1.886183
/root/normalized/cifake/test/fake/1.png,1,0.281124
/root/normalized/cifake/test/fake/10 (10).png,1,-0.545105
/root/normalized/cifake/test/fake/10 (2).png,1,0.091821
/root/normalized/cifake/test/fake/10 (3).png,1,2.975593
/root/normalized/cifake/test/fake/10 (4).png,1,-0.204987
/root/normalized/cifake/test/fake/10 (5).png,1,0.548817
/root/normalized/cifake/test/fake/10 (6).png,1,1.262249
/root/normalized/cifake/test/fake/10 (7).png,1,2.16502
/root/normalized/cifake/test/fake/10 (8).png,1,-0.388054
/root/normalized/cifake/test/fake/10 (9).png,1,1.196205
/root/normalized/cifake/test/fake/10.png,1,-0.171466
/root/normalized/cifake/test/fake/100 (10).png,1,-2.577556
/root/normalized/cifake/test/fake/100 (2).png,1,-0.448665
/root/normalized/cifake/test/fake/100 (3).png,1,0.052731
/root/normalized/cifake/test/fake/100 (4).png,1,-1.776789
/root/normalized/cifake/test/fake/100 (5).png,1,0.908877
/root/normalized/cifake/test/fake/100 (6).png,1,-0.200442
/root/normalized/cifake/test/fake/100 (7).png,1,-1.925997
/root/normalized/cifake/test/fake/100 (8).png,1,0.841807
/root/normalized/cifake/test/fake/100 (9).png,1,-0.006247
/root/normalized/cifake/test/fake/100.png,1,-0.897393
/root/normalized/cifake/test/fake/101 (10).png,1,-0.655488
/root/normalized/cifake/test/fake/101 (2).png,1,0.111988
/root/normalized/cifake/test/fake/101 (3).png,1,-0.268371
/root/normalized/cifake/test/fake/101 (4).png,1,-1.548872
/root/normalized/cifake/test/fake/101 (5).png,1,0.673472
/root/normalized/cifake/test/fake/101 (6).png,1,-0.740465
/root/normalized/cifake/test/fake/101 (7).png,1,-0.407873
/root/normalized/cifake/test/fake/101 (8).png,1,0.506502
/root/normalized/cifake/test/fake/101 (9).png,1,-1.194741
/root/normalized/cifake/test/fake/101.png,1,-0.826341
/root/normalized/cifake/test/fake/102 (10).png,1,-1.287519
/root/normalized/cifake/test/fake/102 (2).png,1,0.050523
/root/normalized/cifake/test/fake/102 (3).png,1,3.528723
/root/normalized/cifake/test/fake/102 (4).png,1,-0.476891
/root/normalized/cifake/test/fake/102 (5).png,1,2.330824
/root/normalized/cifake/test/fake/102 (6).png,1,0.307795
/root/normalized/cifake/test/fake/102 (7).png,1,0.235593
/root/normalized/cifake/test/fake/102 (8).png,1,-1.911638
/root/normalized/cifake/test/fake/102 (9).png,1,1.618428
/root/normalized/cifake/test/fake/102.png,1,-0.677083
/root/normalized/cifake/test/fake/103 (10).png,1,-1.229828
/root/normalized/cifake/test/fake/103 (2).png,1,-1.07724
/root/normalized/cifake/test/fake/103 (3).png,1,1.105899
/root/normalized/cifake/test/fake/103 (4).png,1,0.875781
/root/normalized/cifake/test/fake/103 (5).png,1,1.057759
/root/normalized/cifake/test/fake/103 (6).png,1,0.931441
/root/normalized/cifake/test/fake/103 (7).png,1,0.546681
/root/normalized/cifake/test/fake/103 (8).png,1,-1.98794
/root/normalized/cifake/test/fake/103 (9).png,1,1.393123
/root/normalized/cifake/test/fake/103.png,1,-1.13617
/root/normalized/cifake/test/fake/104 (10).png,1,-1.717982
/root/normalized/cifake/test/fake/104 (2).png,1,-0.048913
/root/normalized/cifake/test/fake/104 (3).png,1,1.557506
/root/normalized/cifake/test/fake/104 (4).png,1,-0.094118
/root/normalized/cifake/test/fake/104 (5).png,1,1.19865
/root/normalized/cifake/test/fake/104 (6).png,1,0.337746
/root/normalized/cifake/test/fake/104 (7).png,1,0.752389
/root/normalized/cifake/test/fake/104 (8).png,1,1.08011
/root/normalized/cifake/test/fake/104 (9).png,1,1.346376
/root/normalized/cifake/test/fake/104.png,1,-1.677868
/root/normalized/cifake/test/fake/105 (10).png,1,-0.260067
/root/normalized/cifake/test/fake/105 (2).png,1,-1.244796
