path,label,score
data/raw/cifake/test/FAKE/0 (10).jpg,1,-1.967949
data/raw/cifake/test/FAKE/0 (2).jpg,1,-3.397687
data/raw/cifake/test/FAKE/0 (3).jpg,1,-2.21609
data/raw/cifake/test/FAKE/0 (4).jpg,1,-0.061583
data/raw/cifake/test/FAKE/0 (5).jpg,1,-1.878242
data/raw/cifake/test/FAKE/0 (6).jpg,1,-2.163483
data/raw/cifake/test/FAKE/0 (7).jpg,1,-1.082139
data/raw/cifake/test/FAKE/0 (8).jpg,1,-1.84761
data/raw/cifake/test/FAKE/0 (9).jpg,1,-0.51274
data/raw/cifake/test/FAKE/0.jpg,1,-1.023446
data/raw/cifake/test/FAKE/1 (10).jpg,1,-1.041851
data/raw/cifake/test/FAKE/1 (2).jpg,1,-1.205504
data/raw/cifake/test/FAKE/1 (3).jpg,1,-1.375547
data/raw/cifake/test/FAKE/1 (4).jpg,1,-2.012119
data/raw/cifake/test/FAKE/1 (5).jpg,1,-1.141536
data/raw/cifake/test/FAKE/1 (6).jpg,1,-2.409171
data/raw/cifake/test/FAKE/1 (7).jpg,1,-2.297829
data/raw/cifake/test/FAKE/1 (8).jpg,1,-2.040775
data/raw/cifake/test/FAKE/1 (9).jpg,1,-0.856709
data/raw/cifake/test/FAKE/1.jpg,1,-0.209056
data/raw/cifake/test/FAKE/10 (10).jpg,1,-2.381543
data/raw/cifake/test/FAKE/10 (2).jpg,1,-2.268291
data/raw/cifake/test/FAKE/10 (3).jpg,1,-0.687419
data/raw/cifake/test/FAKE/10 (4).jpg,1,-1.512622
data/raw/cifake/test/FAKE/10 (5).jpg,1,-2.644366
data/raw/cifake/test/FAKE/10 (6).jpg,1,-3.570983
data/raw/cifake/test/FAKE/10 (7).jpg,1,-1.673187
data/raw/cifake/test/FAKE/10 (8).jpg,1,-1.424114
data/raw/cifake/test/FAKE/10 (9).jpg,1,-1.814896
data/raw/cifake/test/FAKE/10.jpg,1,-3.634876
data/raw/cifake/test/FAKE/100 (10).jpg,1,-1.256559
data/raw/cifake/test/FAKE/100 (2).jpg,1,-3.101004
data/raw/cifake/test/FAKE/100 (3).jpg,1,-1.435798
data/raw/cifake/test/FAKE/100 (4).jpg,1,-1.07352
data/raw/cifake/test/FAKE/100 (5).jpg,1,-1.563688
data/raw/cifake/test/FAKE/100 (6).jpg,1,-1.847429
data/raw/cifake/test/FAKE/100 (7).jpg,1,-1.073428
data/raw/cifake/test/FAKE/100 (8).jpg,1,-1.807281
data/raw/cifake/test/FAKE/100 (9).jpg,1,-1.949509
data/raw/cifake/test/FAKE/100.jpg,1,-0.56655
data/raw/cifake/test/FAKE/101 (10).jpg,1,-1.896625
data/raw/cifake/test/FAKE/101 (2).jpg,1,-1.351756
data/raw/cifake/test/FAKE/101 (3).jpg,1,-1.01739
data/raw/cifake/test/FAKE/101 (4).jpg,1,-1.317215
data/raw/cifake/test/FAKE/101 (5).jpg,1,-1.022603
data/raw/cifake/test/FAKE/101 (6).jpg,1,-1.830936
data/raw/cifake/test/FAKE/101 (7).jpg,1,-1.88821
data/raw/cifake/test/FAKE/101 (8).jpg,1,-2.106957
data/raw/cifake/test/FAKE/101 (9).jpg,1,-1.578056
data/raw/cifake/test/FAKE/101.jpg,1,-3.817038
data/raw/cifake/test/FAKE/102 (10).jpg,1,-1.955908
data/raw/cifake/test/FAKE/102 (2).jpg,1,-1.100939
data/raw/cifake/test/FAKE/102 (3).jpg,1,-2.00703
data/raw/cifake/test/FAKE/102 (4).jpg,1,-2.092396
data/raw/cifake/test/FAKE/102 (5).jpg,1,-1.588738
data/raw/cifake/test/FAKE/102 (6).jpg,1,-1.628171
data/raw/cifake/test/FAKE/102 (7).jpg,1,-1.733483
data/raw/cifake/test/FAKE/102 (8).jpg,1,-2.831676
data/raw/cifake/test/FAKE/102 (9).jpg,1,-1.542131
data/raw/cifake/test/FAKE/102.jpg,1,-1.342358
data/raw/cifake/test/FAKE/103 (10).jpg,1,-2.949527
data/raw/cifake/test/FAKE/103 (2).jpg,1,-2.537091
data/raw/cifake/test/FAKE/103 (3).jpg,1,-1.327697
data/raw/cifake/test/FAKE/103 (4).jpg,1,-0.873458
data/raw/cifake/test/FAKE/103 (5).jpg,1,-1.382486
data/raw/cifake/test/FAKE/103 (6).jpg,1,-1.381327
data/raw/cifake/test/FAKE/103 (7).jpg,1,-2.542758
data/raw/cifake/test/FAKE/103 (8).jpg,1,-1.619838
data/raw/cifake/test/FAKE/103 (9).jpg,1,-1.658536
data/raw/cifake/test/FAKE/103.jpg,1,-0.335102
data/raw/cifake/test/FAKE/104 (10).jpg,1,-1.105403
data/raw/cifake/test/FAKE/104 (2).jpg,1,-1.494941
data/raw/cifake/test/FAKE/104 (3).jpg,1,-0.821614
data/raw/cifake/test/FAKE/104 (4).jpg,1,-2.480256
data/raw/cifake/test/FAKE/104 (5).jpg,1,-2.242042
data/raw/cifake/test/FAKE/104 (6).jpg,1,-1.575959
data/raw/cifake/test/FAKE/104 (7).jpg,1,-2.184988
data/raw/cifake/test/FAKE/104 (8).jpg,1,-1.295052
data/raw/cifake/test/FAKE/104 (9).jpg,1,-2.887224
data/raw/cifake/test/FAKE/104.jpg,1,-0.799362
data/raw/cifake/test/FAKE/105 (10).jpg,1,-1.360175
data/raw/cifake/test/FAKE/105 (2).jpg,1,-2.022075
data/raw/cifake/test/FAKE/105 (3).jpg,1,-4.131446
data/raw/cifake/test/FAKE/105 (4).jpg,1,-1.320481
data/raw/cifake/test/FAKE/105 (5).jpg,1,-2.232501
data/raw/cifake/test/FAKE/105 (6).jpg,1,-1.609279
data/raw/cifake/test/FAKE/105 (7).jpg,1,-1.452169
data/raw/cifake/test/FAKE/105 (8).jpg,1,-3.483632
