path,label,score
/root/ablated/cifake/high/fake/0 (10).png,1,2.88e-07
/root/ablated/cifake/high/fake/0 (2).png,1,9.79e-07
/root/ablated/cifake/high/fake/0 (3).png,1,1.58e-07
/root/ablated/cifake/high/fake/0 (4).png,1,5.3915e-05
/root/ablated/cifake/high/fake/0 (5).png,1,8.9e-08
/root/ablated/cifake/high/fake/0 (6).png,1,7.907e-06
/root/ablated/cifake/high/fake/0 (7).png,1,0.0
/root/ablated/cifake/high/fake/0 (8).png,1,9.041e-06
/root/ablated/cifake/high/fake/0 (9).png,1,5.132e-06
/root/ablated/cifake/high/fake/0.png,1,0.000484528
/root/ablated/cifake/high/fake/1 (10).png,1,5.0509e-05
/root/ablated/cifake/high/fake/1 (2).png,1,2.9e-08
/root/ablated/cifake/high/fake/1 (3).png,1,0.989925981
/root/ablated/cifake/high/fake/1 (4).png,1,2.94e-07
/root/ablated/cifake/high/fake/1 (5).png,1,2.05e-07
/root/ablated/cifake/high/fake/1 (6).png,1,0.000159778
/root/ablated/cifake/high/fake/1 (7).png,1,2.1759e-05
/root/ablated/cifake/high/fake/1 (8).png,1,1.439e-06
/root/ablated/cifake/high/fake/1 (9).png,1,2.654e-06
/root/ablated/cifake/high/fake/1.png,1,0.000290208
/root/ablated/cifake/high/fake/10 (10).png,1,0.000801317
/root/ablated/cifake/high/fake/10 (2).png,1,4.44e-07
/root/ablated/cifake/high/fake/10 (3).png,1,0.19558613
/root/ablated/cifake/high/fake/10 (4).png,1,0.0
/root/ablated/cifake/high/fake/10 (5).png,1,7.1e-08
/root/ablated/cifake/high/fake/10 (6).png,1,0.001849551
/root/ablated/cifake/high/fake/10 (7).png,1,9.02e-07
/root/ablated/cifake/high/fake/10 (8).png,1,0.000258221
/root/ablated/cifake/high/fake/10 (9).png,1,0.000808446
/root/ablated/cifake/high/fake/10.png,1,9.5e-08
/root/ablated/cifake/high/fake/100 (10).png,1,1e-09
/root/ablated/cifake/high/fake/100 (2).png,1,3.04e-07
/root/ablated/cifake/high/fake/100 (3).png,1,6.04e-07
/root/ablated/cifake/high/fake/100 (4).png,1,5.8963e-05
/root/ablated/cifake/high/fake/100 (5).png,1,0.006401015
/root/ablated/cifake/high/fake/100 (6).png,1,0.0
/root/ablated/cifake/high/fake/100 (7).png,1,2.279e-06
/root/ablated/cifake/high/fake/100 (8).png,1,8.9e-08
/root/ablated/cifake/high/fake/100 (9).png,1,2.905e-06
/root/ablated/cifake/high/fake/100.png,1,0.003014211
/root/ablated/cifake/high/fake/101 (10).png,1,6e-09
/root/ablated/cifake/high/fake/101 (2).png,1,1.224e-06
/root/ablated/cifake/high/fake/101 (3).png,1,6.3954e-05
/root/ablated/cifake/high/fake/101 (4).png,1,0.0
/root/ablated/cifake/high/fake/101 (5).png,1,2.431e-06
/root/ablated/cifake/high/fake/101 (6).png,1,0.0
/root/ablated/cifake/high/fake/101 (7).png,1,6.336e-06
/root/ablated/cifake/high/fake/101 (8).png,1,4.4567e-05
/root/ablated/cifake/high/fake/101 (9).png,1,8.4998e-05
/root/ablated/cifake/high/fake/101.png,1,1.163e-06
/root/ablated/cifake/high/fake/102 (10).png,1,2.3278e-05
/root/ablated/cifake/high/fake/102 (2).png,1,2.8e-08
/root/ablated/cifake/high/fake/102 (3).png,1,0.155036867
/root/ablated/cifake/high/fake/102 (4).png,1,1e-09
/root/ablated/cifake/high/fake/102 (5).png,1,2.516e-06
/root/ablated/cifake/high/fake/102 (6).png,1,0.005719477
/root/ablated/cifake/high/fake/102 (7).png,1,0.0
/root/ablated/cifake/high/fake/102 (8).png,1,1.7185e-05
/root/ablated/cifake/high/fake/102 (9).png,1,8.82e-07
/root/ablated/cifake/high/fake/102.png,1,1.4496e-05
/root/ablated/cifake/high/fake/103 (10).png,1,0.0
/root/ablated/cifake/high/fake/103 (2).png,1,6.6219e-05
/root/ablated/cifake/high/fake/103 (3).png,1,0.000118215
/root/ablated/cifake/high/fake/103 (4).png,1,5.0374e-05
/root/ablated/cifake/high/fake/103 (5).png,1,3.8071e-05
/root/ablated/cifake/high/fake/103 (6).png,1,9.1411e-05
/root/ablated/cifake/high/fake/103 (7).png,1,4.1e-08
/root/ablated/cifake/high/fake/103 (8).png,1,0.000799562
/root/ablated/cifake/high/fake/103 (9).png,1,0.000690503
/root/ablated/cifake/high/fake/103.png,1,0.005459388
/root/ablated/cifake/high/fake/104 (10).png,1,5.86e-07
/root/ablated/cifake/high/fake/104 (2).png,1,8.66e-07
/root/ablated/cifake/high/fake/104 (3).png,1,0.000100191
/root/ablated/cifake/high/fake/104 (4).png,1,1.143e-06
/root/ablated/cifake/high/fake/104 (5).png,1,0.458628744
/root/ablated/cifake/high/fake/104 (6).png,1,0.000136366
/root/ablated/cifake/high/fake/104 (7).png,1,2.1e-08
/root/ablated/cifake/high/fake/104 (8).png,1,4.6e-08
/root/ablated/cifake/high/fake/104 (9).png,1,2.77e-07
/root/ablated/cifake/high/fake/104.png,1,3.5e-08
/root/ablated/cifake/high/fake/105 (10).png,1,1.61e-07
/root/ablated/cifake/high/fake/105 (2).png,1,0.0
