path,label,score
/root/swapped/cifake/test/fake/0 (10).jpg,1,1.3e-08
/root/swapped/cifake/test/fake/0 (2).jpg,1,1.281e-06
/root/swapped/cifake/test/fake/0 (3).jpg,1,4.26e-07
/root/swapped/cifake/test/fake/0 (4).jpg,1,1.135e-06
/root/swapped/cifake/test/fake/0 (5).jpg,1,8.81e-07
/root/swapped/cifake/test/fake/0 (6).jpg,1,9.132e-06
/root/swapped/cifake/test/fake/0 (7).jpg,1,0.0
/root/swapped/cifake/test/fake/0 (8).jpg,1,1.709e-06
/root/swapped/cifake/test/fake/0.jpg,1,4.3026e-05
/root/swapped/cifake/test/fake/0 (9).jpg,1,9.43e-07
/root/swapped/cifake/test/fake/1 (10).jpg,1,2.9061e-05
/root/swapped/cifake/test/fake/1 (2).jpg,1,1.3e-08
/root/swapped/cifake/test/fake/1 (3).jpg,1,0.997558355
/root/swapped/cifake/test/fake/1 (4).jpg,1,6.1e-08
/root/swapped/cifake/test/fake/1 (5).jpg,1,1.22e-07
/root/swapped/cifake/test/fake/1 (6).jpg,1,3.38e-06
/root/swapped/cifake/test/fake/1 (9).jpg,1,2.641e-06
/root/swapped/cifake/test/fake/1 (7).jpg,1,7.686e-06
/root/swapped/cifake/test/fake/1.jpg,1,0.001224265
/root/swapped/cifake/test/fake/10 (3).jpg,1,0.187509164
/root/swapped/cifake/test/fake/10 (5).jpg,1,1.1e-08
/root/swapped/cifake/test/fake/10 (10).jpg,1,0.000570586
/root/swapped/cifake/test/fake/10 (2).jpg,1,4.1e-07
/root/swapped/cifake/test/fake/10 (4).jpg,1,0.0
/root/swapped/cifake/test/fake/1 (8).jpg,1,6e-09
/root/swapped/cifake/test/fake/10 (6).jpg,1,7.8752e-05
/root/swapped/cifake/test/fake/10 (7).jpg,1,1.4039e-05
/root/swapped/cifake/test/fake/10 (9).jpg,1,0.009616117
/root/swapped/cifake/test/fake/10 (8).jpg,1,0.000271265
/root/swapped/cifake/test/fake/100 (10).jpg,1,0.0
/root/swapped/cifake/test/fake/10.jpg,1,8e-09
/root/swapped/cifake/test/fake/100 (3).jpg,1,2.515e-06
/root/swapped/cifake/test/fake/100 (2).jpg,1,3.73e-07
/root/swapped/cifake/test/fake/100 (4).jpg,1,3.7966e-05
/root/swapped/cifake/test/fake/100 (7).jpg,1,2.537e-06
/root/swapped/cifake/test/fake/100 (6).jpg,1,0.0
/root/swapped/cifake/test/fake/100 (5).jpg,1,0.000450308
/root/swapped/cifake/test/fake/100 (8).jpg,1,4e-09
/root/swapped/cifake/test/fake/101 (10).jpg,1,2e-09
