path,label,score
/root/normalized/cifake/test/fake/0 (10).png,1,0.0
/root/normalized/cifake/test/fake/0 (2).png,1,1e-06
/root/normalized/cifake/test/fake/0 (3).png,1,0.0
/root/normalized/cifake/test/fake/0 (4).png,1,4.4e-05
/root/normalized/cifake/test/fake/0 (5).png,1,0.0
/root/normalized/cifake/test/fake/0 (6).png,1,6e-06
/root/normalized/cifake/test/fake/0 (7).png,1,0.0
/root/normalized/cifake/test/fake/0 (8).png,1,6e-06
/root/normalized/cifake/test/fake/0 (9).png,1,2e-06
/root/normalized/cifake/test/fake/0.png,1,0.000467
/root/normalized/cifake/test/fake/1 (10).png,1,2.1e-05
/root/normalized/cifake/test/fake/1 (2).png,1,0.0
/root/normalized/cifake/test/fake/1 (3).png,1,0.993252
/root/normalized/cifake/test/fake/1 (4).png,1,0.0
/root/normalized/cifake/test/fake/1 (5).png,1,0.0
/root/normalized/cifake/test/fake/1 (6).png,1,9.2e-05
/root/normalized/cifake/test/fake/1 (7).png,1,1.2e-05
/root/normalized/cifake/test/fake/1 (8).png,1,1e-06
/root/normalized/cifake/test/fake/1 (9).png,1,2e-06
/root/normalized/cifake/test/fake/1.png,1,0.000159
/root/normalized/cifake/test/fake/10 (10).png,1,0.000467
/root/normalized/cifake/test/fake/10 (2).png,1,0.0
/root/normalized/cifake/test/fake/10 (3).png,1,0.134147
/root/normalized/cifake/test/fake/10 (4).png,1,0.0
/root/normalized/cifake/test/fake/10 (5).png,1,0.0
/root/normalized/cifake/test/fake/10 (6).png,1,0.000501
/root/normalized/cifake/test/fake/10 (7).png,1,1e-06
/root/normalized/cifake/test/fake/10 (8).png,1,0.000178
/root/normalized/cifake/test/fake/10 (9).png,1,0.000839
/root/normalized/cifake/test/fake/10.png,1,0.0
/root/normalized/cifake/test/fake/100 (10).png,1,0.0
/root/normalized/cifake/test/fake/100 (2).png,1,0.0
/root/normalized/cifake/test/fake/100 (3).png,1,0.0
/root/normalized/cifake/test/fake/100 (4).png,1,3.2e-05
/root/normalized/cifake/test/fake/100 (5).png,1,0.007772
/root/normalized/cifake/test/fake/100 (6).png,1,0.0
/root/normalized/cifake/test/fake/100 (7).png,1,1e-06
/root/normalized/cifake/test/fake/100 (8).png,1,0.0
/root/normalized/cifake/test/fake/100 (9).png,1,1e-06
/root/normalized/cifake/test/fake/100.png,1,0.001593
/root/normalized/cifake/test/fake/101 (10).png,1,0.0
/root/normalized/cifake/test/fake/101 (2).png,1,1e-06
/root/normalized/cifake/test/fake/101 (3).png,1,3.1e-05
/root/normalized/cifake/test/fake/101 (4).png,1,0.0
/root/normalized/cifake/test/fake/101 (5).png,1,2e-06
/root/normalized/cifake/test/fake/101 (6).png,1,0.0
/root/normalized/cifake/test/fake/101 (7).png,1,4e-06
/root/normalized/cifake/test/fake/101 (8).png,1,4.5e-05
/root/normalized/cifake/test/fake/101 (9).png,1,5.2e-05
/root/normalized/cifake/test/fake/101.png,1,2e-06
/root/normalized/cifake/test/fake/102 (10).png,1,1e-05
/root/normalized/cifake/test/fake/102 (2).png,1,0.0
/root/normalized/cifake/test/fake/102 (3).png,1,0.169113
/root/normalized/cifake/test/fake/102 (4).png,1,0.0
/root/normalized/cifake/test/fake/102 (5).png,1,3e-06
/root/normalized/cifake/test/fake/102 (6).png,1,0.001337
/root/normalized/cifake/test/fake/102 (7).png,1,0.0
/root/normalized/cifake/test/fake/102 (8).png,1,1e-06
/root/normalized/cifake/test/fake/102 (9).png,1,1e-06
/root/normalized/cifake/test/fake/102.png,1,5e-06
/root/normalized/cifake/test/fake/103 (10).png,1,0.0
/root/normalized/cifake/test/fake/103 (2).png,1,4.2e-05
/root/normalized/cifake/test/fake/103 (3).png,1,0.000155
/root/normalized/cifake/test/fake/103 (4).png,1,3.5e-05
/root/normalized/cifake/test/fake/103 (5).png,1,2.7e-05
