path,label,score
/root/ablated/cifake/high/fake/0 (10).png,1,1.888e-06
/root/ablated/cifake/high/fake/0 (2).png,1,0.000810389
/root/ablated/cifake/high/fake/0 (3).png,1,1.8881e-05
/root/ablated/cifake/high/fake/0 (4).png,1,3.4946e-05
/root/ablated/cifake/high/fake/0 (5).png,1,3.7843e-05
/root/ablated/cifake/high/fake/0 (6).png,1,3.559e-06
/root/ablated/cifake/high/fake/0 (7).png,1,0.000530919
/root/ablated/cifake/high/fake/0 (8).png,1,1.957e-06
/root/ablated/cifake/high/fake/0 (9).png,1,9.4162e-05
/root/ablated/cifake/high/fake/0.png,1,9.8543e-05
/root/ablated/cifake/high/fake/1 (10).png,1,1.4148e-05
/root/ablated/cifake/high/fake/1 (2).png,1,6.952e-06
/root/ablated/cifake/high/fake/1 (3).png,1,0.000204527
/root/ablated/cifake/high/fake/1 (4).png,1,6.563e-06
/root/ablated/cifake/high/fake/1 (5).png,1,0.002274081
/root/ablated/cifake/high/fake/1 (6).png,1,1.09e-05
/root/ablated/cifake/high/fake/1 (7).png,1,0.000448379
/root/ablated/cifake/high/fake/1 (8).png,1,0.002526327
/root/ablated/cifake/high/fake/1 (9).png,1,0.956801593
/root/ablated/cifake/high/fake/1.png,1,1.239e-06
/root/ablated/cifake/high/fake/10 (10).png,1,1.0794e-05
/root/ablated/cifake/high/fake/10 (2).png,1,0.998468459
/root/ablated/cifake/high/fake/10 (3).png,1,6.506e-06
/root/ablated/cifake/high/fake/10 (4).png,1,1.7133e-05
/root/ablated/cifake/high/fake/10 (5).png,1,0.001169471
/root/ablated/cifake/high/fake/10 (6).png,1,0.001709102
/root/ablated/cifake/high/fake/10 (7).png,1,4.8615e-05
/root/ablated/cifake/high/fake/10 (8).png,1,1.0375e-05
/root/ablated/cifake/high/fake/10 (9).png,1,0.999998808
/root/ablated/cifake/high/fake/10.png,1,7.7936e-05
/root/ablated/cifake/high/fake/100 (10).png,1,1.6404e-05
/root/ablated/cifake/high/fake/100 (2).png,1,0.00053626
/root/ablated/cifake/high/fake/100 (3).png,1,0.000452211
/root/ablated/cifake/high/fake/100 (4).png,1,5.647e-05
/root/ablated/cifake/high/fake/100 (5).png,1,6.8119e-05
/root/ablated/cifake/high/fake/100 (6).png,1,0.040746074
/root/ablated/cifake/high/fake/100 (7).png,1,0.003848791
/root/ablated/cifake/high/fake/100 (8).png,1,0.29782474
/root/ablated/cifake/high/fake/100 (9).png,1,0.000523258
/root/ablated/cifake/high/fake/100.png,1,0.003665695
/root/ablated/cifake/high/fake/101 (10).png,1,1.721e-06
/root/ablated/cifake/high/fake/101 (2).png,1,0.015563185
/root/ablated/cifake/high/fake/101 (3).png,1,1.0524e-05
/root/ablated/cifake/high/fake/101 (4).png,1,0.000199524
/root/ablated/cifake/high/fake/101 (5).png,1,0.000499839
/root/ablated/cifake/high/fake/101 (6).png,1,4.5648e-05
/root/ablated/cifake/high/fake/101 (7).png,1,0.001995778
/root/ablated/cifake/high/fake/101 (8).png,1,0.000409141
/root/ablated/cifake/high/fake/101 (9).png,1,0.0004485
/root/ablated/cifake/high/fake/101.png,1,0.000937743
/root/ablated/cifake/high/fake/102 (10).png,1,2.8163e-05
/root/ablated/cifake/high/fake/102 (2).png,1,4.5966e-05
/root/ablated/cifake/high/fake/102 (3).png,1,2.089e-05
/root/ablated/cifake/high/fake/102 (4).png,1,1.134e-06
/root/ablated/cifake/high/fake/102 (5).png,1,0.013509101
