path,label,score
/root/ablated/cifake/low/fake/0 (10).png,1,0.275775611
/root/ablated/cifake/low/fake/0 (2).png,1,0.597066998
/root/ablated/cifake/low/fake/0 (3).png,1,0.061829891
/root/ablated/cifake/low/fake/0 (4).png,1,0.384764493
/root/ablated/cifake/low/fake/0 (5).png,1,0.030712232
/root/ablated/cifake/low/fake/0 (6).png,1,0.760137141
/root/ablated/cifake/low/fake/0 (7).png,1,0.516557157
/root/ablated/cifake/low/fake/0 (8).png,1,0.232056394
/root/ablated/cifake/low/fake/0 (9).png,1,0.175033689
/root/ablated/cifake/low/fake/0.png,1,0.999935508
/root/ablated/cifake/low/fake/1 (10).png,1,0.333242327
/root/ablated/cifake/low/fake/1 (2).png,1,0.02915542
/root/ablated/cifake/low/fake/1 (3).png,1,0.00466173
/root/ablated/cifake/low/fake/1 (4).png,1,0.069393605
/root/ablated/cifake/low/fake/1 (5).png,1,0.241601989
/root/ablated/cifake/low/fake/1 (6).png,1,0.14535363
/root/ablated/cifake/low/fake/1 (7).png,1,0.02498618
/root/ablated/cifake/low/fake/1 (8).png,1,0.999974251
/root/ablated/cifake/low/fake/1 (9).png,1,0.999623299
/root/ablated/cifake/low/fake/1.png,1,0.107651852
/root/ablated/cifake/low/fake/10 (10).png,1,0.499391437
/root/ablated/cifake/low/fake/10 (2).png,1,0.992472172
/root/ablated/cifake/low/fake/10 (3).png,1,0.352573514
/root/ablated/cifake/low/fake/10 (4).png,1,0.138991073
/root/ablated/cifake/low/fake/10 (5).png,1,0.075063892
/root/ablated/cifake/low/fake/10 (6).png,1,0.303968519
/root/ablated/cifake/low/fake/10 (7).png,1,0.673706234
/root/ablated/cifake/low/fake/10 (8).png,1,0.023593217
/root/ablated/cifake/low/fake/10 (9).png,1,0.018752238
/root/ablated/cifake/low/fake/10.png,1,0.829881966
/root/ablated/cifake/low/fake/100 (10).png,1,0.972938001
/root/ablated/cifake/low/fake/100 (2).png,1,0.988522649
/root/ablated/cifake/low/fake/100 (3).png,1,0.007577384
/root/ablated/cifake/low/fake/100 (4).png,1,0.427647293
/root/ablated/cifake/low/fake/100 (5).png,1,0.007015727
/root/ablated/cifake/low/fake/100 (6).png,1,0.878651321
/root/ablated/cifake/low/fake/100 (7).png,1,0.407806128
/root/ablated/cifake/low/fake/100 (8).png,1,0.999996185
/root/ablated/cifake/low/fake/100 (9).png,1,0.020209698
/root/ablated/cifake/low/fake/100.png,1,0.993119359
/root/ablated/cifake/low/fake/101 (10).png,1,0.999259889
/root/ablated/cifake/low/fake/101 (2).png,1,0.822034717
/root/ablated/cifake/low/fake/101 (3).png,1,0.005191717
/root/ablated/cifake/low/fake/101 (4).png,1,0.749464571
/root/ablated/cifake/low/fake/101 (5).png,1,0.02804428
/root/ablated/cifake/low/fake/101 (6).png,1,0.990384102
/root/ablated/cifake/low/fake/101 (7).png,1,0.973306417
/root/ablated/cifake/low/fake/101 (8).png,1,0.014926248
/root/ablated/cifake/low/fake/101 (9).png,1,0.9999367
/root/ablated/cifake/low/fake/101.png,1,0.999485731
/root/ablated/cifake/low/fake/102 (10).png,1,0.992966294
/root/ablated/cifake/low/fake/102 (2).png,1,0.155495539
/root/ablated/cifake/low/fake/102 (3).png,1,0.718620718
/root/ablated/cifake/low/fake/102 (4).png,1,0.079227999
/root/ablated/cifake/low/fake/102 (5).png,1,0.015592888
/root/ablated/cifake/low/fake/102 (6).png,1,0.314727783
/root/ablated/cifake/low/fake/102 (7).png,1,0.64912957
/root/ablated/cifake/low/fake/102 (8).png,1,0.937328756
/root/ablated/cifake/low/fake/102 (9).png,1,0.026393203
/root/ablated/cifake/low/fake/102.png,1,0.928684652
/root/ablated/cifake/low/fake/103 (10).png,1,0.692629695
/root/ablated/cifake/low/fake/103 (2).png,1,0.087177768
/root/ablated/cifake/low/fake/103 (3).png,1,0.015913477
/root/ablated/cifake/low/fake/103 (4).png,1,0.980372131
/root/ablated/cifake/low/fake/103 (5).png,1,0.988082647
/root/ablated/cifake/low/fake/103 (6).png,1,0.031926021
/root/ablated/cifake/low/fake/103 (7).png,1,0.76158309
/root/ablated/cifake/low/fake/103 (8).png,1,0.995888293
/root/ablated/cifake/low/fake/103 (9).png,1,0.300954819
/root/ablated/cifake/low/fake/103.png,1,0.029499222
/root/ablated/cifake/low/fake/104 (10).png,1,0.99990654
/root/ablated/cifake/low/fake/104 (2).png,1,0.334382564
/root/ablated/cifake/low/fake/104 (3).png,1,0.087113731
/root/ablated/cifake/low/fake/104 (4).png,1,0.998611808
/root/ablated/cifake/low/fake/104 (5).png,1,0.099669091
/root/ablated/cifake/low/fake/104 (6).png,1,0.036064181
/root/ablated/cifake/low/fake/104 (7).png,1,0.205265164
/root/ablated/cifake/low/fake/104 (8).png,1,0.069231562
/root/ablated/cifake/low/fake/104 (9).png,1,0.00572131
/root/ablated/cifake/low/fake/104.png,1,0.841251493
/root/ablated/cifake/low/fake/105 (10).png,1,0.316032946
/root/ablated/cifake/low/fake/105 (2).png,1,0.992398679
/root/ablated/cifake/low/fake/105 (3).png,1,0.038446248
/root/ablated/cifake/low/fake/105 (4).png,1,0.99998033
/root/ablated/cifake/low/fake/105 (5).png,1,0.011172215
/root/ablated/cifake/low/fake/105 (6).png,1,0.382903159
/root/ablated/cifake/low/fake/105 (7).png,1,0.223489434
/root/ablated/cifake/low/fake/105 (8).png,1,0.970879436
/root/ablated/cifake/low/fake/105 (9).png,1,0.065699905
/root/ablated/cifake/low/fake/105.png,1,0.077384546
/root/ablated/cifake/low/fake/106 (10).png,1,0.164849147
/root/ablated/cifake/low/fake/106 (2).png,1,0.078717865
/root/ablated/cifake/low/fake/106 (3).png,1,0.795676112
/root/ablated/cifake/low/fake/106 (4).png,1,0.936216474
/root/ablated/cifake/low/fake/106 (5).png,1,0.018096188
/root/ablated/cifake/low/fake/106 (6).png,1,0.998659492
/root/ablated/cifake/low/fake/106 (7).png,1,0.672362447
/root/ablated/cifake/low/fake/106 (8).png,1,0.462389469
/root/ablated/cifake/low/fake/106 (9).png,1,0.999921083
/root/ablated/cifake/low/fake/106.png,1,0.786248803
/root/ablated/cifake/low/fake/107 (10).png,1,0.987910867
/root/ablated/cifake/low/fake/107 (2).png,1,0.014183584
/root/ablated/cifake/low/fake/107 (3).png,1,0.381742179
/root/ablated/cifake/low/fake/107 (4).png,1,0.018947309
/root/ablated/cifake/low/fake/107 (5).png,1,0.008236168
/root/ablated/cifake/low/fake/107 (6).png,1,0.012311189
/root/ablated/cifake/low/fake/107 (7).png,1,0.669567466
/root/ablated/cifake/low/fake/107 (8).png,1,0.026623024
/root/ablated/cifake/low/fake/107 (9).png,1,0.469353646
/root/ablated/cifake/low/fake/107.png,1,0.993451476
/root/ablated/cifake/low/fake/108 (10).png,1,0.999448836
/root/ablated/cifake/low/fake/108 (2).png,1,0.132379606
/root/ablated/cifake/low/fake/108 (3).png,1,0.003071591
/root/ablated/cifake/low/fake/108 (4).png,1,0.38170144
/root/ablated/cifake/low/fake/108 (5).png,1,0.07075423
/root/ablated/cifake/low/fake/108 (6).png,1,0.952876925
/root/ablated/cifake/low/fake/108 (7).png,1,0.035849139
/root/ablated/cifake/low/fake/108 (8).png,1,0.360943824
/root/ablated/cifake/low/fake/108 (9).png,1,0.868672132
/root/ablated/cifake/low/fake/108.png,1,0.777051985
/root/ablated/cifake/low/fake/109 (10).png,1,0.017282173
/root/ablated/cifake/low/fake/109 (2).png,1,0.05531244
/root/ablated/cifake/low/fake/109 (3).png,1,0.118710078
/root/ablated/cifake/low/fake/109 (4).png,1,0.97592032
/root/ablated/cifake/low/fake/109 (5).png,1,0.006599868
/root/ablated/cifake/low/fake/109 (6).png,1,0.054000959
/root/ablated/cifake/low/fake/109 (7).png,1,0.989664614
/root/ablated/cifake/low/fake/109 (8).png,1,0.028133722
/root/ablated/cifake/low/fake/109 (9).png,1,0.046189655
/root/ablated/cifake/low/fake/109.png,1,0.030759111
/root/ablated/cifake/low/fake/11 (10).png,1,0.991843164
/root/ablated/cifake/low/fake/11 (2).png,1,0.049300905
/root/ablated/cifake/low/fake/11 (3).png,1,0.011695842
/root/ablated/cifake/low/fake/11 (4).png,1,0.8893767
/root/ablated/cifake/low/fake/11 (5).png,1,0.029568939
/root/ablated/cifake/low/fake/11 (6).png,1,0.575934231
/root/ablated/cifake/low/fake/11 (7).png,1,0.961029351
/root/ablated/cifake/low/fake/11 (8).png,1,0.404911697
/root/ablated/cifake/low/fake/11 (9).png,1,0.991681635
/root/ablated/cifake/low/fake/11.png,1,0.997141659
/root/ablated/cifake/low/fake/110 (10).png,1,0.543797731
/root/ablated/cifake/low/fake/110 (2).png,1,0.93048054
/root/ablated/cifake/low/fake/110 (3).png,1,0.005586072
/root/ablated/cifake/low/fake/110 (4).png,1,0.909793377
/root/ablated/cifake/low/fake/110 (5).png,1,0.012573856
/root/ablated/cifake/low/fake/110 (6).png,1,0.107020162
/root/ablated/cifake/low/fake/110 (7).png,1,0.059480321
/root/ablated/cifake/low/fake/110 (8).png,1,0.011240358
/root/ablated/cifake/low/fake/110 (9).png,1,0.865213394
/root/ablated/cifake/low/fake/110.png,1,0.981757343
