path,label,score
defactify_0,1,0.0
defactify_1,0,0.0
defactify_2,1,0.0
defactify_3,0,0.0
defactify_4,1,0.0
defactify_5,1,0.0
defactify_6,1,0.0
defactify_7,1,0.0
defactify_8,1,0.0
defactify_9,1,0.0
defactify_10,1,0.0
defactify_11,1,0.0
defactify_12,1,0.0
defactify_13,1,0.0
defactify_14,1,0.0
defactify_15,1,0.0
defactify_16,1,0.0
defactify_17,1,0.0
defactify_18,1,0.0
defactify_19,1,0.0
defactify_20,1,0.0
defactify_21,0,0.0
defactify_22,0,0.0
defactify_23,1,0.0
defactify_24,1,0.0
defactify_25,1,0.0
defactify_26,0,0.0
defactify_27,1,0.0
defactify_28,1,0.0
defactify_29,1,0.0
defactify_30,1,0.0
defactify_31,0,0.0
defactify_32,1,0.0
defactify_33,1,0.0
defactify_34,1,0.0
defactify_35,0,0.0
defactify_36,1,0.0
defactify_37,1,0.0
defactify_38,1,0.0
defactify_39,0,0.0
defactify_40,1,0.0
defactify_41,1,0.0
defactify_42,1,0.0
defactify_43,1,0.0
defactify_44,1,0.0
defactify_45,1,0.0
defactify_46,1,0.0
defactify_47,1,0.0
defactify_48,1,0.0
defactify_49,1,0.0
defactify_50,1,0.0
defactify_51,1,0.0
defactify_52,1,0.0
defactify_53,1,0.0
defactify_54,1,0.0
defactify_55,1,0.0
defactify_56,1,0.0
defactify_57,1,0.0
defactify_58,1,0.0
defactify_59,1,0.0
defactify_60,1,0.0
defactify_61,1,0.0
defactify_62,1,0.0
defactify_63,0,0.0
defactify_64,0,0.0
defactify_65,1,0.0
defactify_66,0,0.0
defactify_67,1,0.0
defactify_68,0,0.0
defactify_69,1,0.0
defactify_70,1,0.0
defactify_71,1,0.0
defactify_72,1,0.0
defactify_73,1,0.0
defactify_74,0,0.0
defactify_75,1,0.0
defactify_76,1,0.0
defactify_77,1,0.0
defactify_78,1,0.0
defactify_79,0,0.0
defactify_80,1,0.0
defactify_81,1,0.0
defactify_82,1,0.0
defactify_83,1,0.0
defactify_84,1,0.0
defactify_85,1,0.0
defactify_86,1,0.0
defactify_87,1,0.0
defactify_88,0,0.0
defactify_89,1,0.0
defactify_90,1,0.0
defactify_91,1,0.0
defactify_92,0,0.0
defactify_93,1,0.0
defactify_94,1,0.0
defactify_95,1,0.0
defactify_96,1,0.0
defactify_97,1,0.0
defactify_98,1,0.0
defactify_99,0,0.0
defactify_100,0,0.0
defactify_101,0,0.0
defactify_102,1,0.0
defactify_103,1,0.0
defactify_104,1,0.0
defactify_105,1,0.0
defactify_106,1,0.0
defactify_107,0,0.0
defactify_108,1,0.0
defactify_109,1,0.0
defactify_110,1,0.0
defactify_111,1,0.0
defactify_112,1,0.0
defactify_113,1,0.0
defactify_114,1,0.0
defactify_115,1,0.0
defactify_116,1,0.0
defactify_117,1,0.0
defactify_118,1,0.0
defactify_119,1,0.0
defactify_120,1,0.0
defactify_121,1,0.0
defactify_122,1,0.0
defactify_123,1,0.0
defactify_124,1,0.0
defactify_125,1,0.0
defactify_126,1,0.0
defactify_127,1,0.0
defactify_128,1,0.0
defactify_129,0,0.0
defactify_130,1,0.0
defactify_131,0,0.0
defactify_132,1,0.0
defactify_133,1,0.0
defactify_134,1,0.0
defactify_135,1,0.0
defactify_136,1,0.0
defactify_137,1,0.0
defactify_138,1,0.0
defactify_139,1,0.0
defactify_140,1,0.0
defactify_141,1,0.0
defactify_142,1,0.0
defactify_143,1,0.0
defactify_144,1,0.0
defactify_145,1,0.0
defactify_146,1,0.0
defactify_147,1,0.0
defactify_148,0,0.0
defactify_149,0,0.0
defactify_150,1,0.0
defactify_151,1,0.0
defactify_152,1,0.0
defactify_153,1,0.0
defactify_154,1,0.0
defactify_155,1,0.0
defactify_156,0,0.0
defactify_157,1,0.0
defactify_158,0,0.0
defactify_159,1,0.0
defactify_160,1,0.0
defactify_161,1,0.0
defactify_162,1,0.0
defactify_163,1,0.0
defactify_164,1,0.0
defactify_165,1,0.0
defactify_166,0,0.0
defactify_167,1,0.0
defactify_168,1,0.0
defactify_169,1,0.0
defactify_170,1,0.0
defactify_171,0,0.0
defactify_172,1,0.0
defactify_173,1,0.0
defactify_174,1,0.0
defactify_175,0,0.0
defactify_176,0,0.0
defactify_177,0,0.0
defactify_178,0,0.0
defactify_179,1,0.0
defactify_180,1,0.0
defactify_181,1,0.0
defactify_182,1,0.0
defactify_183,0,0.0
defactify_184,1,0.0
defactify_185,1,0.0
defactify_186,1,0.0
defactify_187,1,0.0
defactify_188,1,0.0
defactify_189,1,0.0
defactify_190,0,0.0
defactify_191,1,0.0
defactify_192,1,0.0
defactify_193,0,0.0
defactify_194,1,0.0
defactify_195,1,0.0
defactify_196,1,0.0
defactify_197,1,0.0
defactify_198,1,0.0
defactify_199,1,0.0
defactify_200,1,0.0
defactify_201,1,0.0
defactify_202,0,0.0
defactify_203,1,0.0
defactify_204,1,0.0
