path,label,score
/root/ablated/cifake/low/fake/0 (10).png,1,2.022e-06
/root/ablated/cifake/low/fake/0 (2).png,1,0.0
/root/ablated/cifake/low/fake/0 (3).png,1,2.392e-06
/root/ablated/cifake/low/fake/0 (4).png,1,0.460020691
/root/ablated/cifake/low/fake/0 (5).png,1,0.031378031
/root/ablated/cifake/low/fake/0 (6).png,1,0.0
/root/ablated/cifake/low/fake/0 (7).png,1,0.274874806
/root/ablated/cifake/low/fake/0 (8).png,1,0.0
/root/ablated/cifake/low/fake/0 (9).png,1,0.0
/root/ablated/cifake/low/fake/0.png,1,0.998925626
/root/ablated/cifake/low/fake/1 (10).png,1,5.9e-08
/root/ablated/cifake/low/fake/1 (2).png,1,4.7479e-05
/root/ablated/cifake/low/fake/1 (3).png,1,0.997141778
/root/ablated/cifake/low/fake/1 (4).png,1,0.979915619
/root/ablated/cifake/low/fake/1 (5).png,1,0.999853969
/root/ablated/cifake/low/fake/1 (6).png,1,0.162476882
/root/ablated/cifake/low/fake/1 (7).png,1,0.0
/root/ablated/cifake/low/fake/1 (8).png,1,0.521155715
/root/ablated/cifake/low/fake/1 (9).png,1,3.666e-06
/root/ablated/cifake/low/fake/1.png,1,8.55e-07
/root/ablated/cifake/low/fake/10 (10).png,1,0.0
/root/ablated/cifake/low/fake/10 (2).png,1,0.000120712
/root/ablated/cifake/low/fake/10 (3).png,1,2.18e-07
/root/ablated/cifake/low/fake/10 (4).png,1,1.4e-08
/root/ablated/cifake/low/fake/10 (5).png,1,0.005115702
/root/ablated/cifake/low/fake/10 (6).png,1,0.000308453
/root/ablated/cifake/low/fake/10 (7).png,1,1e-09
/root/ablated/cifake/low/fake/10 (8).png,1,0.011983953
/root/ablated/cifake/low/fake/10 (9).png,1,1.0
/root/ablated/cifake/low/fake/10.png,1,0.005118802
/root/ablated/cifake/low/fake/100 (10).png,1,0.0
/root/ablated/cifake/low/fake/100 (2).png,1,0.0
/root/ablated/cifake/low/fake/100 (3).png,1,0.999969721
/root/ablated/cifake/low/fake/100 (4).png,1,0.0
/root/ablated/cifake/low/fake/100 (5).png,1,0.122942142
/root/ablated/cifake/low/fake/100 (6).png,1,0.999985814
/root/ablated/cifake/low/fake/100 (7).png,1,1e-09
/root/ablated/cifake/low/fake/100 (8).png,1,0.0
/root/ablated/cifake/low/fake/100 (9).png,1,0.0
/root/ablated/cifake/low/fake/100.png,1,0.0
/root/ablated/cifake/low/fake/101 (10).png,1,9.77e-07
/root/ablated/cifake/low/fake/101 (2).png,1,0.648651659
/root/ablated/cifake/low/fake/101 (3).png,1,0.020256365
/root/ablated/cifake/low/fake/101 (4).png,1,1.036e-06
/root/ablated/cifake/low/fake/101 (5).png,1,0.043594744
/root/ablated/cifake/low/fake/101 (6).png,1,0.0
/root/ablated/cifake/low/fake/101 (7).png,1,0.000723734
/root/ablated/cifake/low/fake/101 (8).png,1,0.734114826
/root/ablated/cifake/low/fake/101 (9).png,1,0.999006212
/root/ablated/cifake/low/fake/101.png,1,0.999670148
/root/ablated/cifake/low/fake/102 (10).png,1,0.999997973
/root/ablated/cifake/low/fake/102 (2).png,1,0.000266181
/root/ablated/cifake/low/fake/102 (3).png,1,1.0
/root/ablated/cifake/low/fake/102 (4).png,1,6.2e-07
/root/ablated/cifake/low/fake/102 (5).png,1,0.999978662
/root/ablated/cifake/low/fake/102 (6).png,1,3e-09
