detector,dataset,condition,auc,accuracy,mcc,n_real,n_fake
cnndetection,cifake,original,0.3750,0.4907,-0.0694,10000,10000
freqnet,cifake,original,0.4731,0.4600,-0.1016,10000,10000
npr,cifake,original,0.4349,0.4335,-0.2248,10000,10000
univfd,cifake,original,0.3003,0.3606,-0.2861,10000,10000
fatformer,cifake,original,0.2903,0.4995,-0.0125,10000,10000
bfree,cifake,original,0.4971,0.5007,0.0156,10000,10000
cnn2d,cifake,original,0.5303,0.5241,0.0481,10000,10000
cnndetection,defactify,original,0.5073,0.1685,0.0023,7500,37500
freqnet,defactify,original,0.5106,0.1682,0.0102,7500,37500
npr,defactify,original,0.5201,0.2000,0.0244,7500,37500
univfd,defactify,original,0.5361,0.1757,0.0063,7500,37500
cnn2d,defactify,original,0.5455,0.2080,0.0254,7500,37500
cnndetection,cifake,normalized,0.3750,0.4907,-0.0694,10000,10000
freqnet,cifake,normalized,0.4731,0.4600,-0.1016,10000,10000
npr,cifake,normalized,0.4349,0.4335,-0.2248,10000,10000
univfd,cifake,normalized,0.3712,0.4088,-0.1824,10000,10000
fatformer,cifake,normalized,0.2903,0.4995,-0.0125,10000,10000
bfree,cifake,normalized,0.6373,0.5857,0.2113,10000,10000
cnn2d,cifake,normalized,0.4722,0.4860,-0.0444,10000,10000
cnndetection,defactify,normalized,0.5235,0.1686,0.0029,7500,37500
freqnet,defactify,normalized,0.5340,0.1681,0.0079,7500,37500
npr,defactify,normalized,0.5561,0.2002,0.0179,7500,37500
univfd,defactify,normalized,0.4929,0.1726,-0.0069,7500,37500
fatformer,defactify,normalized,0.5371,0.1668,0.0027,7500,37500
bfree,defactify,normalized,0.6114,0.3932,0.1014,7500,37500
cnn2d,defactify,normalized,0.5367,0.3618,0.0499,7500,37500
cnndetection,genimage,original,0.6576,0.4161,0.1066,50000,76676
freqnet,genimage,original,0.9769,0.8629,0.7524,50000,76676
npr,genimage,original,0.9513,0.8465,0.7055,50000,76676
univfd,genimage,original,0.9606,0.7258,0.5622,50000,76676
fatformer,genimage,original,0.9753,0.8036,0.6707,50000,76676
bfree,genimage,original,0.9194,0.7664,0.6003,50000,76676
fatformer,defactify,original,0.5572,0.1668,0.0000,7500,37500
bfree,defactify,original,0.6112,0.3966,0.1023,7500,37500
cnndetection,genimage,normalized,0.6522,0.4160,0.1050,50000,76676
freqnet,genimage,normalized,0.9782,0.8640,0.7550,50000,76676
npr,genimage,normalized,0.9397,0.8364,0.6811,50000,76676
cnn2d,genimage,normalized,0.4972,0.6050,-0.0133,50000,76676
univfd,genimage,normalized,0.9404,0.7232,0.5541,50000,76676
fatformer,genimage,normalized,0.9678,0.8027,0.6683,50000,76676
bfree,genimage,normalized,0.9194,0.7664,0.6003,50000,76676
