path,label,score
/root/ablated/cifake/low/fake/0 (10).png,1,0.051777743
/root/ablated/cifake/low/fake/0 (2).png,1,0.000151229
/root/ablated/cifake/low/fake/0 (3).png,1,0.017449841
/root/ablated/cifake/low/fake/0 (4).png,1,0.903928459
/root/ablated/cifake/low/fake/0 (5).png,1,0.000285087
/root/ablated/cifake/low/fake/0 (6).png,1,2.228e-06
/root/ablated/cifake/low/fake/0 (7).png,1,0.999999285
/root/ablated/cifake/low/fake/0 (8).png,1,5.6212e-05
/root/ablated/cifake/low/fake/0 (9).png,1,4.2348e-05
/root/ablated/cifake/low/fake/0.png,1,0.999995589
/root/ablated/cifake/low/fake/1 (10).png,1,0.0
/root/ablated/cifake/low/fake/1 (2).png,1,0.000272236
/root/ablated/cifake/low/fake/1 (3).png,1,0.256932586
/root/ablated/cifake/low/fake/1 (4).png,1,0.999980092
/root/ablated/cifake/low/fake/1 (5).png,1,0.999885082
/root/ablated/cifake/low/fake/1 (6).png,1,0.085112318
/root/ablated/cifake/low/fake/1 (7).png,1,2.009e-06
/root/ablated/cifake/low/fake/1 (8).png,1,1.0
/root/ablated/cifake/low/fake/1 (9).png,1,0.999997258
/root/ablated/cifake/low/fake/1.png,1,0.997272313
/root/ablated/cifake/low/fake/10 (10).png,1,0.044221316
/root/ablated/cifake/low/fake/10 (2).png,1,0.048804037
/root/ablated/cifake/low/fake/10 (3).png,1,0.000149822
/root/ablated/cifake/low/fake/10 (4).png,1,5.772e-05
/root/ablated/cifake/low/fake/10 (5).png,1,0.000111842
/root/ablated/cifake/low/fake/10 (6).png,1,0.000840946
/root/ablated/cifake/low/fake/10 (7).png,1,4.36e-07
/root/ablated/cifake/low/fake/10 (8).png,1,0.972938895
/root/ablated/cifake/low/fake/10 (9).png,1,0.986449897
/root/ablated/cifake/low/fake/10.png,1,0.251596987
/root/ablated/cifake/low/fake/100 (10).png,1,0.865834475
/root/ablated/cifake/low/fake/100 (2).png,1,1.445e-05
/root/ablated/cifake/low/fake/100 (3).png,1,0.313090414
/root/ablated/cifake/low/fake/100 (4).png,1,7.5608e-05
/root/ablated/cifake/low/fake/100 (5).png,1,0.999969959
/root/ablated/cifake/low/fake/100 (6).png,1,0.096753977
/root/ablated/cifake/low/fake/100 (7).png,1,2.249e-06
/root/ablated/cifake/low/fake/100 (8).png,1,0.000872552
/root/ablated/cifake/low/fake/100 (9).png,1,1.5983e-05
/root/ablated/cifake/low/fake/100.png,1,0.988479316
/root/ablated/cifake/low/fake/101 (10).png,1,0.231820181
/root/ablated/cifake/low/fake/101 (2).png,1,0.554574072
/root/ablated/cifake/low/fake/101 (3).png,1,6.889e-06
/root/ablated/cifake/low/fake/101 (4).png,1,0.975405574
/root/ablated/cifake/low/fake/101 (5).png,1,0.929839849
/root/ablated/cifake/low/fake/101 (6).png,1,1.226e-06
/root/ablated/cifake/low/fake/101 (7).png,1,1.446e-06
/root/ablated/cifake/low/fake/101 (8).png,1,0.00089122
/root/ablated/cifake/low/fake/101 (9).png,1,0.999999881
/root/ablated/cifake/low/fake/101.png,1,1.0
/root/ablated/cifake/low/fake/102 (10).png,1,1.0
/root/ablated/cifake/low/fake/102 (2).png,1,0.999866843
/root/ablated/cifake/low/fake/102 (3).png,1,0.38356781
/root/ablated/cifake/low/fake/102 (4).png,1,0.760614097
/root/ablated/cifake/low/fake/102 (5).png,1,0.236951768
/root/ablated/cifake/low/fake/102 (6).png,1,0.994467616
/root/ablated/cifake/low/fake/102 (7).png,1,0.607349217
