path,label,score
/root/swapped/cifake/test/fake/0 (10).jpg,1,1.0
/root/swapped/cifake/test/fake/0 (2).jpg,1,0.001133543
/root/swapped/cifake/test/fake/0 (3).jpg,1,1.0
/root/swapped/cifake/test/fake/0 (4).jpg,1,1.0
/root/swapped/cifake/test/fake/0 (5).jpg,1,1.0
/root/swapped/cifake/test/fake/0 (6).jpg,1,2.6253e-05
/root/swapped/cifake/test/fake/0 (7).jpg,1,1.0
/root/swapped/cifake/test/fake/0 (8).jpg,1,0.003387182
/root/swapped/cifake/test/fake/0.jpg,1,1.0
/root/swapped/cifake/test/fake/0 (9).jpg,1,0.000347388
/root/swapped/cifake/test/fake/1 (10).jpg,1,0.994726837
/root/swapped/cifake/test/fake/1 (2).jpg,1,0.999905705
/root/swapped/cifake/test/fake/1 (3).jpg,1,1.0
/root/swapped/cifake/test/fake/1 (4).jpg,1,1.0
/root/swapped/cifake/test/fake/1 (5).jpg,1,1.0
/root/swapped/cifake/test/fake/1 (6).jpg,1,1.0
/root/swapped/cifake/test/fake/1 (9).jpg,1,1.0
/root/swapped/cifake/test/fake/1 (7).jpg,1,1.0
/root/swapped/cifake/test/fake/1.jpg,1,1.0
/root/swapped/cifake/test/fake/10 (3).jpg,1,6.9706e-05
/root/swapped/cifake/test/fake/10 (5).jpg,1,1.0
/root/swapped/cifake/test/fake/10 (10).jpg,1,1.0
/root/swapped/cifake/test/fake/10 (2).jpg,1,1.0
/root/swapped/cifake/test/fake/10 (4).jpg,1,1.0
/root/swapped/cifake/test/fake/1 (8).jpg,1,1.0
/root/swapped/cifake/test/fake/10 (6).jpg,1,1.0
/root/swapped/cifake/test/fake/10 (7).jpg,1,1.0
/root/swapped/cifake/test/fake/10 (9).jpg,1,1.0
/root/swapped/cifake/test/fake/10 (8).jpg,1,1.0
/root/swapped/cifake/test/fake/100 (10).jpg,1,1.0
/root/swapped/cifake/test/fake/10.jpg,1,1.0
/root/swapped/cifake/test/fake/100 (3).jpg,1,0.999988675
/root/swapped/cifake/test/fake/100 (2).jpg,1,9.3867e-05
/root/swapped/cifake/test/fake/100 (4).jpg,1,0.002059615
/root/swapped/cifake/test/fake/100 (7).jpg,1,1.0
/root/swapped/cifake/test/fake/100 (6).jpg,1,1.0
/root/swapped/cifake/test/fake/100 (5).jpg,1,1.0
/root/swapped/cifake/test/fake/100 (8).jpg,1,1.0
/root/swapped/cifake/test/fake/101 (10).jpg,1,1.0
/root/swapped/cifake/test/fake/101 (2).jpg,1,1.0
/root/swapped/cifake/test/fake/100.jpg,1,1.0
/root/swapped/cifake/test/fake/101 (5).jpg,1,1.0
/root/swapped/cifake/test/fake/101 (4).jpg,1,1.0
/root/swapped/cifake/test/fake/100 (9).jpg,1,1.9083e-05
/root/swapped/cifake/test/fake/101 (7).jpg,1,1.0
/root/swapped/cifake/test/fake/101 (3).jpg,1,1.0
/root/swapped/cifake/test/fake/101 (6).jpg,1,1.0
/root/swapped/cifake/test/fake/102 (10).jpg,1,1.0
/root/swapped/cifake/test/fake/102 (2).jpg,1,1.0
/root/swapped/cifake/test/fake/101.jpg,1,1.0
/root/swapped/cifake/test/fake/101 (9).jpg,1,1.0
/root/swapped/cifake/test/fake/101 (8).jpg,1,1.0
/root/swapped/cifake/test/fake/102 (3).jpg,1,1.0
/root/swapped/cifake/test/fake/102 (5).jpg,1,1.0
/root/swapped/cifake/test/fake/102 (4).jpg,1,1.0
/root/swapped/cifake/test/fake/102 (8).jpg,1,1.0
/root/swapped/cifake/test/fake/102 (6).jpg,1,1.0
/root/swapped/cifake/test/fake/103 (10).jpg,1,1.0
/root/swapped/cifake/test/fake/102.jpg,1,1.0
/root/swapped/cifake/test/fake/102 (9).jpg,1,1.0
/root/swapped/cifake/test/fake/102 (7).jpg,1,1.0
/root/swapped/cifake/test/fake/103 (2).jpg,1,3.7147e-05
/root/swapped/cifake/test/fake/103 (3).jpg,1,1.0
/root/swapped/cifake/test/fake/103 (8).jpg,1,1.0
/root/swapped/cifake/test/fake/103 (7).jpg,1,1.0
/root/swapped/cifake/test/fake/103 (6).jpg,1,1.0
/root/swapped/cifake/test/fake/103.jpg,1,0.000181633
/root/swapped/cifake/test/fake/103 (5).jpg,1,1.0
/root/swapped/cifake/test/fake/104 (10).jpg,1,1.0
/root/swapped/cifake/test/fake/104 (2).jpg,1,1.6443e-05
/root/swapped/cifake/test/fake/103 (4).jpg,1,0.000438912
/root/swapped/cifake/test/fake/104 (5).jpg,1,1.0
/root/swapped/cifake/test/fake/103 (9).jpg,1,1.0
/root/swapped/cifake/test/fake/104 (4).jpg,1,1.0
/root/swapped/cifake/test/fake/104 (6).jpg,1,1.0
/root/swapped/cifake/test/fake/104 (7).jpg,1,1.0
/root/swapped/cifake/test/fake/104 (3).jpg,1,1.0
/root/swapped/cifake/test/fake/104.jpg,1,1.0
/root/swapped/cifake/test/fake/104 (9).jpg,1,4.8418e-05
/root/swapped/cifake/test/fake/105 (10).jpg,1,1.0
/root/swapped/cifake/test/fake/104 (8).jpg,1,0.000116618
/root/swapped/cifake/test/fake/105 (3).jpg,1,1.0
/root/swapped/cifake/test/fake/105 (2).jpg,1,1.0
/root/swapped/cifake/test/fake/105 (4).jpg,1,1.0
/root/swapped/cifake/test/fake/105 (8).jpg,1,1.0
/root/swapped/cifake/test/fake/105 (9).jpg,1,7.6845e-05
/root/swapped/cifake/test/fake/105 (6).jpg,1,1.0
/root/swapped/cifake/test/fake/105 (7).jpg,1,1.0
/root/swapped/cifake/test/fake/105 (5).jpg,1,1.0
/root/swapped/cifake/test/fake/106 (10).jpg,1,0.000544448
/root/swapped/cifake/test/fake/105.jpg,1,1.0
/root/swapped/cifake/test/fake/106 (2).jpg,1,0.00082611
/root/swapped/cifake/test/fake/106 (4).jpg,1,0.814425826
/root/swapped/cifake/test/fake/106 (3).jpg,1,1.0
