path,label,score
/root/ablated/cifake/high/fake/0 (10).png,1,0.461959809
/root/ablated/cifake/high/fake/0 (2).png,1,0.930751264
/root/ablated/cifake/high/fake/0 (3).png,1,0.301667243
/root/ablated/cifake/high/fake/0 (4).png,1,0.12474063
/root/ablated/cifake/high/fake/0 (5).png,1,0.446604937
/root/ablated/cifake/high/fake/0 (6).png,1,0.435899317
/root/ablated/cifake/high/fake/0 (7).png,1,0.243764997
/root/ablated/cifake/high/fake/0 (8).png,1,0.315056652
/root/ablated/cifake/high/fake/0 (9).png,1,0.539814115
/root/ablated/cifake/high/fake/0.png,1,0.890132904
/root/ablated/cifake/high/fake/1 (10).png,1,0.555437446
/root/ablated/cifake/high/fake/1 (2).png,1,0.473449081
/root/ablated/cifake/high/fake/1 (3).png,1,0.878496289
/root/ablated/cifake/high/fake/1 (4).png,1,0.375067085
/root/ablated/cifake/high/fake/1 (5).png,1,0.905359864
/root/ablated/cifake/high/fake/1 (6).png,1,0.810806334
/root/ablated/cifake/high/fake/1 (7).png,1,0.422729224
/root/ablated/cifake/high/fake/1 (8).png,1,0.941865563
/root/ablated/cifake/high/fake/1 (9).png,1,0.997803032
/root/ablated/cifake/high/fake/1.png,1,0.744109631
/root/ablated/cifake/high/fake/10 (10).png,1,0.335426658
/root/ablated/cifake/high/fake/10 (2).png,1,0.282222599
/root/ablated/cifake/high/fake/10 (3).png,1,0.05739174
/root/ablated/cifake/high/fake/10 (4).png,1,0.404941738
/root/ablated/cifake/high/fake/10 (5).png,1,0.032127921
/root/ablated/cifake/high/fake/10 (6).png,1,0.35738349
/root/ablated/cifake/high/fake/10 (7).png,1,0.159737155
/root/ablated/cifake/high/fake/10 (8).png,1,0.614769995
/root/ablated/cifake/high/fake/10 (9).png,1,0.969994545
/root/ablated/cifake/high/fake/10.png,1,0.663246095
/root/ablated/cifake/high/fake/100 (10).png,1,0.173960432
/root/ablated/cifake/high/fake/100 (2).png,1,0.754818261
/root/ablated/cifake/high/fake/100 (3).png,1,0.584493935
/root/ablated/cifake/high/fake/100 (4).png,1,0.369446129
/root/ablated/cifake/high/fake/100 (5).png,1,0.863231659
/root/ablated/cifake/high/fake/100 (6).png,1,0.991031885
/root/ablated/cifake/high/fake/100 (7).png,1,0.208713666
/root/ablated/cifake/high/fake/100 (8).png,1,0.988452137
/root/ablated/cifake/high/fake/100 (9).png,1,0.541753888
/root/ablated/cifake/high/fake/100.png,1,0.803572416
/root/ablated/cifake/high/fake/101 (10).png,1,0.800882638
/root/ablated/cifake/high/fake/101 (2).png,1,0.215742543
/root/ablated/cifake/high/fake/101 (3).png,1,0.500404716
/root/ablated/cifake/high/fake/101 (4).png,1,0.837408543
/root/ablated/cifake/high/fake/101 (5).png,1,0.035742227
/root/ablated/cifake/high/fake/101 (6).png,1,0.595875263
/root/ablated/cifake/high/fake/101 (7).png,1,0.029239163
/root/ablated/cifake/high/fake/101 (8).png,1,0.295885473
/root/ablated/cifake/high/fake/101 (9).png,1,0.903914452
/root/ablated/cifake/high/fake/101.png,1,0.998559058
/root/ablated/cifake/high/fake/102 (10).png,1,0.987968087
/root/ablated/cifake/high/fake/102 (2).png,1,0.938663244
/root/ablated/cifake/high/fake/102 (3).png,1,0.247062907
/root/ablated/cifake/high/fake/102 (4).png,1,0.063369855
/root/ablated/cifake/high/fake/102 (5).png,1,0.209612057
/root/ablated/cifake/high/fake/102 (6).png,1,0.518242836
/root/ablated/cifake/high/fake/102 (7).png,1,0.005145954
/root/ablated/cifake/high/fake/102 (8).png,1,0.803755879
/root/ablated/cifake/high/fake/102 (9).png,1,0.880734444
/root/ablated/cifake/high/fake/102.png,1,0.424217194
/root/ablated/cifake/high/fake/103 (10).png,1,0.862533271
/root/ablated/cifake/high/fake/103 (2).png,1,0.495814383
/root/ablated/cifake/high/fake/103 (3).png,1,0.474070102
/root/ablated/cifake/high/fake/103 (4).png,1,0.820680618
/root/ablated/cifake/high/fake/103 (5).png,1,0.170091182
/root/ablated/cifake/high/fake/103 (6).png,1,0.29556495
/root/ablated/cifake/high/fake/103 (7).png,1,0.590609193
/root/ablated/cifake/high/fake/103 (8).png,1,0.982697546
/root/ablated/cifake/high/fake/103 (9).png,1,0.992003381
/root/ablated/cifake/high/fake/103.png,1,0.723382831
/root/ablated/cifake/high/fake/104 (10).png,1,0.982666612
/root/ablated/cifake/high/fake/104 (2).png,1,0.073567405
/root/ablated/cifake/high/fake/104 (3).png,1,0.995595992
/root/ablated/cifake/high/fake/104 (4).png,1,0.827108681
/root/ablated/cifake/high/fake/104 (5).png,1,0.105769835
/root/ablated/cifake/high/fake/104 (6).png,1,0.631058156
/root/ablated/cifake/high/fake/104 (7).png,1,0.022754489
/root/ablated/cifake/high/fake/104 (8).png,1,0.196562931
/root/ablated/cifake/high/fake/104 (9).png,1,0.751257002
/root/ablated/cifake/high/fake/104.png,1,0.923415363
/root/ablated/cifake/high/fake/105 (10).png,1,0.429792613
/root/ablated/cifake/high/fake/105 (2).png,1,0.995269954
/root/ablated/cifake/high/fake/105 (3).png,1,0.982998788
/root/ablated/cifake/high/fake/105 (4).png,1,0.863147855
/root/ablated/cifake/high/fake/105 (5).png,1,0.057687189
/root/ablated/cifake/high/fake/105 (6).png,1,0.529161453
/root/ablated/cifake/high/fake/105 (7).png,1,0.222930431
/root/ablated/cifake/high/fake/105 (8).png,1,0.898514986
/root/ablated/cifake/high/fake/105 (9).png,1,0.720701873
/root/ablated/cifake/high/fake/105.png,1,0.236996323
/root/ablated/cifake/high/fake/106 (10).png,1,0.232038304
/root/ablated/cifake/high/fake/106 (2).png,1,0.010973759
/root/ablated/cifake/high/fake/106 (3).png,1,0.976294339
/root/ablated/cifake/high/fake/106 (4).png,1,0.33726725
/root/ablated/cifake/high/fake/106 (5).png,1,0.462730408
/root/ablated/cifake/high/fake/106 (6).png,1,0.176738486
