path,label,score
/root/ablated/cifake/low/fake/0 (10).png,1,0.999111831
/root/ablated/cifake/low/fake/0 (2).png,1,0.218748331
/root/ablated/cifake/low/fake/0 (3).png,1,0.992471933
/root/ablated/cifake/low/fake/0 (4).png,1,0.988828301
/root/ablated/cifake/low/fake/0 (5).png,1,0.869521976
/root/ablated/cifake/low/fake/0 (6).png,1,0.484857887
/root/ablated/cifake/low/fake/0 (7).png,1,0.947192311
/root/ablated/cifake/low/fake/0 (8).png,1,0.768368602
/root/ablated/cifake/low/fake/0 (9).png,1,0.746096194
/root/ablated/cifake/low/fake/0.png,1,0.978736877
/root/ablated/cifake/low/fake/1 (10).png,1,0.951709867
/root/ablated/cifake/low/fake/1 (2).png,1,0.989888132
/root/ablated/cifake/low/fake/1 (3).png,1,0.775544226
/root/ablated/cifake/low/fake/1 (4).png,1,0.988655329
/root/ablated/cifake/low/fake/1 (5).png,1,0.97830677
/root/ablated/cifake/low/fake/1 (6).png,1,0.998045444
/root/ablated/cifake/low/fake/1 (7).png,1,0.994329512
/root/ablated/cifake/low/fake/1 (8).png,1,0.996439874
/root/ablated/cifake/low/fake/1 (9).png,1,0.71069026
/root/ablated/cifake/low/fake/1.png,1,0.860481441
/root/ablated/cifake/low/fake/10 (10).png,1,0.499366552
/root/ablated/cifake/low/fake/10 (2).png,1,0.97408253
/root/ablated/cifake/low/fake/10 (3).png,1,0.971719444
/root/ablated/cifake/low/fake/10 (4).png,1,0.99501425
/root/ablated/cifake/low/fake/10 (5).png,1,0.983100533
/root/ablated/cifake/low/fake/10 (6).png,1,0.981470883
/root/ablated/cifake/low/fake/10 (7).png,1,0.99858129
/root/ablated/cifake/low/fake/10 (8).png,1,0.979559541
/root/ablated/cifake/low/fake/10 (9).png,1,0.979261875
/root/ablated/cifake/low/fake/10.png,1,0.959424257
/root/ablated/cifake/low/fake/100 (10).png,1,0.998503327
/root/ablated/cifake/low/fake/100 (2).png,1,0.303388655
/root/ablated/cifake/low/fake/100 (3).png,1,0.994929969
/root/ablated/cifake/low/fake/100 (4).png,1,0.539938927
/root/ablated/cifake/low/fake/100 (5).png,1,0.994887769
/root/ablated/cifake/low/fake/100 (6).png,1,0.992136836
/root/ablated/cifake/low/fake/100 (7).png,1,0.99391973
/root/ablated/cifake/low/fake/100 (8).png,1,0.996260941
/root/ablated/cifake/low/fake/100 (9).png,1,0.023629254
/root/ablated/cifake/low/fake/100.png,1,0.98161602
/root/ablated/cifake/low/fake/101 (10).png,1,0.9994753
/root/ablated/cifake/low/fake/101 (2).png,1,0.887051761
/root/ablated/cifake/low/fake/101 (3).png,1,0.974180281
/root/ablated/cifake/low/fake/101 (4).png,1,0.557923734
/root/ablated/cifake/low/fake/101 (5).png,1,0.947695673
/root/ablated/cifake/low/fake/101 (6).png,1,0.99950552
/root/ablated/cifake/low/fake/101 (7).png,1,0.999123037
/root/ablated/cifake/low/fake/101 (8).png,1,0.891777277
/root/ablated/cifake/low/fake/101 (9).png,1,0.661138952
/root/ablated/cifake/low/fake/101.png,1,0.803140342
