path,label,score
/root/normalized/cifake/test/fake/0 (10).png,1,0.037353
/root/normalized/cifake/test/fake/0 (2).png,1,0.918469
/root/normalized/cifake/test/fake/0 (3).png,1,0.043091
/root/normalized/cifake/test/fake/0 (4).png,1,0.069916
/root/normalized/cifake/test/fake/0 (5).png,1,0.341081
/root/normalized/cifake/test/fake/0 (6).png,1,0.266772
/root/normalized/cifake/test/fake/0 (7).png,1,0.068686
/root/normalized/cifake/test/fake/0 (8).png,1,0.099091
/root/normalized/cifake/test/fake/0 (9).png,1,0.732349
/root/normalized/cifake/test/fake/0.png,1,0.533583
/root/normalized/cifake/test/fake/1 (10).png,1,0.026808
/root/normalized/cifake/test/fake/1 (2).png,1,0.057715
/root/normalized/cifake/test/fake/1 (3).png,1,0.964849
/root/normalized/cifake/test/fake/1 (4).png,1,0.18136
/root/normalized/cifake/test/fake/1 (5).png,1,0.890496
/root/normalized/cifake/test/fake/1 (6).png,1,0.082638
/root/normalized/cifake/test/fake/1 (7).png,1,0.029726
/root/normalized/cifake/test/fake/1 (8).png,1,0.601702
/root/normalized/cifake/test/fake/1 (9).png,1,0.995046
/root/normalized/cifake/test/fake/1.png,1,0.058676
/root/normalized/cifake/test/fake/10 (10).png,1,0.219171
/root/normalized/cifake/test/fake/10 (2).png,1,0.03442
/root/normalized/cifake/test/fake/10 (3).png,1,0.00141
/root/normalized/cifake/test/fake/10 (4).png,1,0.495411
/root/normalized/cifake/test/fake/10 (5).png,1,0.289422
/root/normalized/cifake/test/fake/10 (6).png,1,0.38606
/root/normalized/cifake/test/fake/10 (7).png,1,0.025774
/root/normalized/cifake/test/fake/10 (8).png,1,0.858395
/root/normalized/cifake/test/fake/10 (9).png,1,0.995398
/root/normalized/cifake/test/fake/10.png,1,0.441482
/root/normalized/cifake/test/fake/100 (10).png,1,0.018441
/root/normalized/cifake/test/fake/100 (2).png,1,0.222988
/root/normalized/cifake/test/fake/100 (3).png,1,0.175276
/root/normalized/cifake/test/fake/100 (4).png,1,0.562038
/root/normalized/cifake/test/fake/100 (5).png,1,0.639685
/root/normalized/cifake/test/fake/100 (6).png,1,0.986466
/root/normalized/cifake/test/fake/100 (7).png,1,0.104841
/root/normalized/cifake/test/fake/100 (8).png,1,0.727041
/root/normalized/cifake/test/fake/100 (9).png,1,0.169903
/root/normalized/cifake/test/fake/100.png,1,0.891363
/root/normalized/cifake/test/fake/101 (10).png,1,0.359916
/root/normalized/cifake/test/fake/101 (2).png,1,0.708184
/root/normalized/cifake/test/fake/101 (3).png,1,0.679685
/root/normalized/cifake/test/fake/101 (4).png,1,0.650428
/root/normalized/cifake/test/fake/101 (5).png,1,0.229757
/root/normalized/cifake/test/fake/101 (6).png,1,0.587603
/root/normalized/cifake/test/fake/101 (7).png,1,0.117956
/root/normalized/cifake/test/fake/101 (8).png,1,0.299776
/root/normalized/cifake/test/fake/101 (9).png,1,0.966008
/root/normalized/cifake/test/fake/101.png,1,0.99341
/root/normalized/cifake/test/fake/102 (10).png,1,0.974922
/root/normalized/cifake/test/fake/102 (2).png,1,0.42959
/root/normalized/cifake/test/fake/102 (3).png,1,0.12934
/root/normalized/cifake/test/fake/102 (4).png,1,0.193433
/root/normalized/cifake/test/fake/102 (5).png,1,0.811635
/root/normalized/cifake/test/fake/102 (6).png,1,0.259111
/root/normalized/cifake/test/fake/102 (7).png,1,0.011353
/root/normalized/cifake/test/fake/102 (8).png,1,0.581772
/root/normalized/cifake/test/fake/102 (9).png,1,0.626335
/root/normalized/cifake/test/fake/102.png,1,0.52126
/root/normalized/cifake/test/fake/103 (10).png,1,0.321985
/root/normalized/cifake/test/fake/103 (2).png,1,0.535407
/root/normalized/cifake/test/fake/103 (3).png,1,0.908699
/root/normalized/cifake/test/fake/103 (4).png,1,0.449103
/root/normalized/cifake/test/fake/103 (5).png,1,0.120819
/root/normalized/cifake/test/fake/103 (6).png,1,0.213383
/root/normalized/cifake/test/fake/103 (7).png,1,0.562573
/root/normalized/cifake/test/fake/103 (8).png,1,0.913377
/root/normalized/cifake/test/fake/103 (9).png,1,0.962447
/root/normalized/cifake/test/fake/103.png,1,0.407859
/root/normalized/cifake/test/fake/104 (10).png,1,0.965236
/root/normalized/cifake/test/fake/104 (2).png,1,0.228348
