path,label,score
data/raw/cifake/test/FAKE/0 (10).jpg,1,0.580642
data/raw/cifake/test/FAKE/0 (2).jpg,1,0.80569
data/raw/cifake/test/FAKE/0 (3).jpg,1,0.148705
data/raw/cifake/test/FAKE/0 (4).jpg,1,0.01038
data/raw/cifake/test/FAKE/0 (5).jpg,1,0.189689
data/raw/cifake/test/FAKE/0 (6).jpg,1,0.185661
data/raw/cifake/test/FAKE/0 (7).jpg,1,0.352716
data/raw/cifake/test/FAKE/0 (8).jpg,1,0.159189
data/raw/cifake/test/FAKE/0 (9).jpg,1,0.745067
data/raw/cifake/test/FAKE/0.jpg,1,0.740835
data/raw/cifake/test/FAKE/1 (10).jpg,1,0.138768
data/raw/cifake/test/FAKE/1 (2).jpg,1,0.080441
data/raw/cifake/test/FAKE/1 (3).jpg,1,0.094953
data/raw/cifake/test/FAKE/1 (4).jpg,1,0.084631
data/raw/cifake/test/FAKE/1 (5).jpg,1,0.907618
data/raw/cifake/test/FAKE/1 (6).jpg,1,0.083427
data/raw/cifake/test/FAKE/1 (7).jpg,1,0.06549
data/raw/cifake/test/FAKE/1 (8).jpg,1,0.770384
data/raw/cifake/test/FAKE/1 (9).jpg,1,0.777141
data/raw/cifake/test/FAKE/1.jpg,1,0.167619
data/raw/cifake/test/FAKE/10 (10).jpg,1,0.44225
data/raw/cifake/test/FAKE/10 (2).jpg,1,0.050844
data/raw/cifake/test/FAKE/10 (3).jpg,1,0.001978
data/raw/cifake/test/FAKE/10 (4).jpg,1,0.234105
data/raw/cifake/test/FAKE/10 (5).jpg,1,0.32233
data/raw/cifake/test/FAKE/10 (6).jpg,1,0.2508
data/raw/cifake/test/FAKE/10 (7).jpg,1,0.304434
data/raw/cifake/test/FAKE/10 (8).jpg,1,0.668712
data/raw/cifake/test/FAKE/10 (9).jpg,1,0.995808
data/raw/cifake/test/FAKE/10.jpg,1,0.649361
data/raw/cifake/test/FAKE/100 (10).jpg,1,0.033044
data/raw/cifake/test/FAKE/100 (2).jpg,1,0.446794
data/raw/cifake/test/FAKE/100 (3).jpg,1,0.800081
data/raw/cifake/test/FAKE/100 (4).jpg,1,0.231684
data/raw/cifake/test/FAKE/100 (5).jpg,1,0.962541
data/raw/cifake/test/FAKE/100 (6).jpg,1,0.94865
data/raw/cifake/test/FAKE/100 (7).jpg,1,0.091631
data/raw/cifake/test/FAKE/100 (8).jpg,1,0.80885
data/raw/cifake/test/FAKE/100 (9).jpg,1,0.425501
data/raw/cifake/test/FAKE/100.jpg,1,0.878707
data/raw/cifake/test/FAKE/101 (10).jpg,1,0.717601
data/raw/cifake/test/FAKE/101 (2).jpg,1,0.941457
data/raw/cifake/test/FAKE/101 (3).jpg,1,0.66271
data/raw/cifake/test/FAKE/101 (4).jpg,1,0.08612
data/raw/cifake/test/FAKE/101 (5).jpg,1,0.191634
data/raw/cifake/test/FAKE/101 (6).jpg,1,0.427307
data/raw/cifake/test/FAKE/101 (7).jpg,1,0.344442
data/raw/cifake/test/FAKE/101 (8).jpg,1,0.35389
data/raw/cifake/test/FAKE/101 (9).jpg,1,0.969761
data/raw/cifake/test/FAKE/101.jpg,1,0.99714
data/raw/cifake/test/FAKE/102 (10).jpg,1,0.985975
data/raw/cifake/test/FAKE/102 (2).jpg,1,0.392747
data/raw/cifake/test/FAKE/102 (3).jpg,1,0.628717
data/raw/cifake/test/FAKE/102 (4).jpg,1,0.253882
data/raw/cifake/test/FAKE/102 (5).jpg,1,0.5173
data/raw/cifake/test/FAKE/102 (6).jpg,1,0.057915
data/raw/cifake/test/FAKE/102 (7).jpg,1,0.024448
data/raw/cifake/test/FAKE/102 (8).jpg,1,0.57835
